URL,Nome do Produto,Codigo de Barras,Data da Coleta
https://meggaatacadista.com.br/corvina-g-em-posta-luzitania-congelado-1kg-10630-13,Megga Atacadista,Não encontrado,2025-08-01T13:49:29.820943
https://meggaatacadista.com.br/aperitivo-aperol-750ml---10632-13,APERITIVO APEROL 750ML,7891136057012,2025-08-01T13:49:31.949588
https://meggaatacadista.com.br/file-peito-frango-rico-kg-aprox-1100-10637-13,Megga Atacadista,Não encontrado,2025-08-01T13:49:34.046845
https://meggaatacadista.com.br/peixe-inteiro-corvina-lagubras-10002000up-kg-10789-13,Megga Atacadista,Não encontrado,2025-08-01T13:49:36.005407
https://meggaatacadista.com.br/amido-de-milho-maizena-duryea-1kg-10791-13,AMIDO DE MILHO MAIZENA DURYEA 1KG,7894000010038,2025-08-01T13:49:38.226871
https://meggaatacadista.com.br/cream-cheese-trad-polenghi-36kg-10796-13,"CREAM CHEESE TRAD POLENGHI 3,6KG",7891143012554,2025-08-01T13:49:40.285217
https://meggaatacadista.com.br/file-de-peito-frango-pif-paf-ind-kg-10803-13,Megga Atacadista,Não encontrado,2025-08-01T13:49:42.210195
https://meggaatacadista.com.br/suco-nectar-marata-pessego-1l-10827-13,SUCO NECTAR MARATA PESSEGO 1L,7898378180065,2025-08-01T13:49:44.261321
https://meggaatacadista.com.br/nectar-maracuja-marata-200ml--10828-13,Nectar Maracuja Marata 200ml,7898378180447,2025-08-01T13:49:46.426381
https://meggaatacadista.com.br/bebida-mista-maratinho-uva-200ml-10830-13,BEBIDA MISTA MARA-TINHO UVA 200ML,7898378180928,2025-08-01T13:49:48.693718
https://meggaatacadista.com.br/manteiga-com-sal-natville-500g---10850-13,MANTEIGA COM SAL NATVILLE 500G,7898387120083,2025-08-01T13:49:50.966057
https://meggaatacadista.com.br/manteiga-com-sal-natville-200g---10851-13,Megga Atacadista,Não encontrado,2025-08-01T13:49:52.893155
https://meggaatacadista.com.br/peixe-eviscerado-castanha-57-lagopesca-sem-cabeca-kg-10853-13,Megga Atacadista,Não encontrado,2025-08-01T13:49:54.735494
https://meggaatacadista.com.br/px-int-sardinha-luzitania-1kg-10856-13,Megga Atacadista,Não encontrado,2025-08-01T13:49:56.646102
https://meggaatacadista.com.br/px-int-palombeta-46-cong-kg-10872-13,Megga Atacadista,Não encontrado,2025-08-01T13:49:58.480092
https://meggaatacadista.com.br/creme-culinario-leco-1kg-10874-13,Megga Atacadista,Não encontrado,2025-08-01T13:50:00.421207
https://meggaatacadista.com.br/coracao-frango-cogran-cong-kg-10886-13,Megga Atacadista,Não encontrado,2025-08-01T13:50:04.807042
https://meggaatacadista.com.br/creme-chantilly-chanty-mix-tradicional-1l-10896-13,CREME CHANTILLY CHANTY MIX TRADICIONAL 1L,7896096007688,2025-08-01T13:50:08.130005
https://meggaatacadista.com.br/vodka-absolut-petaca-200ml-10901-13,Megga Atacadista,Não encontrado,2025-08-01T13:50:10.299101
https://meggaatacadista.com.br/vodka-elyx-20-4500ml-10904-13,Megga Atacadista,Não encontrado,2025-08-01T13:50:12.402019
https://meggaatacadista.com.br/vodka-elyx-20-1750ml-10905-13,Vodka Elyx 2.0 1750ml,7312040217526,2025-08-01T13:50:14.595280
https://meggaatacadista.com.br/ice-wemix-6-maracuja-com-cha-verde-275ml-10946-13,ICE WE.MIX 6 MARACUJA COM CHA VERDE 275ML,7897736409954,2025-08-01T13:50:16.788519
https://meggaatacadista.com.br/file-peito-frango-guibon-kg-aprox-1100-10983-13,Megga Atacadista,Não encontrado,2025-08-01T13:50:18.620006
https://meggaatacadista.com.br/peito-frango-friato-pct-kg-aprox-1100-11008-13,Megga Atacadista,Não encontrado,2025-08-01T13:50:20.492202
https://meggaatacadista.com.br/atum-solido-robinson-crusoe-oleo-170g---11029-13,ATUM SOLIDO ROBINSON CRUSOE OLEO 170G,7898943163035,2025-08-01T13:50:22.713019
https://meggaatacadista.com.br/atum-ralado-robinson-crusoe-oleo-170g---11030-13,ATUM RALADO ROBINSON CRUSOE OLEO 170G,7898943163059,2025-08-01T13:50:25.038681
https://meggaatacadista.com.br/atum-solido-robinson-crusoe-natural-170g-11031-13,ATUM SOLIDO ROBINSON CRUSOE NATURAL 170G,7898943163042,2025-08-01T13:50:27.349081
https://meggaatacadista.com.br/atum-ralado-robinson-crusoe-molho-tom-170g---11032-13,ATUM RALADO ROBINSON CRUSOE MOLHO TOM 170G,7898943163073,2025-08-01T13:50:29.639707
https://meggaatacadista.com.br/batata-fast-food-bem-brasil-cong-2kg-11035-13,Megga Atacadista,Não encontrado,2025-08-01T13:50:31.680642
https://meggaatacadista.com.br/maminha-da-alcatra-bovina-friboi-kg-11038-13,Megga Atacadista,Não encontrado,2025-08-01T13:50:33.525717
https://meggaatacadista.com.br/px-file-pescada-luzitania-1kg-11043-13,Megga Atacadista,Não encontrado,2025-08-01T13:50:35.398298
https://meggaatacadista.com.br/peito-frango-cogran-kg-aprox-1100-11147-13,Megga Atacadista,Não encontrado,2025-08-01T13:50:37.545496
https://meggaatacadista.com.br/coxasobrecoxa-frango-cogran-kg--aprox-1100-11148-13,Megga Atacadista,Não encontrado,2025-08-01T13:50:39.449291
https://meggaatacadista.com.br/px-int-tainha-nacional-1kg-11151-13,Megga Atacadista,Não encontrado,2025-08-01T13:50:41.657047
https://meggaatacadista.com.br/linguica-tipo-calabresa-rezende-25kg-11154-13,Megga Atacadista,Não encontrado,2025-08-01T13:50:43.636317
https://meggaatacadista.com.br/salsicha-hot-dog-rezende-5kg-11155-13,Megga Atacadista,Não encontrado,2025-08-01T13:50:45.557131
https://meggaatacadista.com.br/rum-malibu-coconut-nacional-750ml-11164-13,RUM MALIBU COCONUT NACIONAL 750ML,7891050004734,2025-08-01T13:50:48.051005
https://meggaatacadista.com.br/cream-cheese-danubio-tradicional-1kg-11181-13,Megga Atacadista,Não encontrado,2025-08-01T13:50:49.738395
https://meggaatacadista.com.br/espumante-charlotte-brut-rose-750ml--11202-13,Espumante Charlotte Brut Rose 750ml,7898266930833,2025-08-01T13:50:52.136957
https://meggaatacadista.com.br/licor-fino-bid-cafe-720ml-11327-13,Megga Atacadista,Não encontrado,2025-08-01T13:50:54.289939
https://meggaatacadista.com.br/licor-fino-bid-pessego-720ml-11328-13,Megga Atacadista,Não encontrado,2025-08-01T13:50:56.277066
https://meggaatacadista.com.br/licor-fino-bid-morango-720ml-11329-13,Megga Atacadista,Não encontrado,2025-08-01T13:50:58.683004
https://meggaatacadista.com.br/licor-fino-bid-cassis-720ml-11330-13,Megga Atacadista,Não encontrado,2025-08-01T13:51:00.913270
https://meggaatacadista.com.br/licor-fino-bid-cacau-720ml-11331-13,Megga Atacadista,Não encontrado,2025-08-01T13:51:04.354241
https://meggaatacadista.com.br/licor-fino-bid-curacau-triple-sec-720ml-11332-13,Megga Atacadista,Não encontrado,2025-08-01T13:51:06.410585
https://meggaatacadista.com.br/licor-crem-bid-chocolate-720ml-11333-13,Megga Atacadista,Não encontrado,2025-08-01T13:51:08.303529
https://meggaatacadista.com.br/licor-fino-bid-coconut-720ml-11346-13,Megga Atacadista,Não encontrado,2025-08-01T13:51:10.390764
https://meggaatacadista.com.br/file-peito-frango-cogran-kg-aprox-1100-11355-13,Megga Atacadista,Não encontrado,2025-08-01T13:51:12.420529
https://meggaatacadista.com.br/queijo-processado-pckt-trad-polenghi-34g---11368-13,Megga Atacadista,Não encontrado,2025-08-01T13:51:14.876658
https://meggaatacadista.com.br/creme-queijo-polenghi-ricota-light-150g-11369-13,Megga Atacadista,Não encontrado,2025-08-01T13:51:16.986646
https://meggaatacadista.com.br/cream-cheese-trad-polenghi-150g---11376-13,Megga Atacadista,Não encontrado,2025-08-01T13:51:19.147643
https://meggaatacadista.com.br/creme-cheese-light-polenghi-150g---11377-13,CREME CHEESE LIGHT POLENGHI 150G,7891143012592,2025-08-01T13:51:21.748931
https://meggaatacadista.com.br/sandwichin-prato-polenghi-144g---11378-13,SANDWICH-IN PRATO POLENGHI 144G,7891143001077,2025-08-01T13:51:24.258697
https://meggaatacadista.com.br/sandwichin-cheddar-polenghi-144g---11379-13,SANDWICH-IN CHEDDAR POLENGHI 144G,7891143001206,2025-08-01T13:51:26.554783
https://meggaatacadista.com.br/queijo-int-parmesao-sardenha-kg-11405-13,Megga Atacadista,Não encontrado,2025-08-01T13:51:28.500230
https://meggaatacadista.com.br/queijo-maturado-federicci-int-mf-azul-kg-11406-13,Megga Atacadista,Não encontrado,2025-08-01T13:51:30.434253
https://meggaatacadista.com.br/queijo-int-provolone-federicci-kg-11407-13,Megga Atacadista,Não encontrado,2025-08-01T13:51:32.451858
https://meggaatacadista.com.br/px-int-cavalinha-nacional-35-kg-11421-13,Megga Atacadista,Não encontrado,2025-08-01T13:51:34.335336
https://meggaatacadista.com.br/atum-ralado-robinson-crusoe-naturalado-170g---11427-13,ATUM RALADO ROBINSON CRUSOE NATURALADO 170G,7898943163066,2025-08-01T13:51:36.753304
https://meggaatacadista.com.br/melhorador-zap-4kg-11428-13,Megga Atacadista,Não encontrado,2025-08-01T13:51:38.670561
https://meggaatacadista.com.br/aperitivo-tequilero-reposado-750ml-ccopo-11435-13,Megga Atacadista,Não encontrado,2025-08-01T13:51:40.666214
https://meggaatacadista.com.br/coxa-com-sobrecoxa-de-frango-rico-kg-11439-13,Megga Atacadista,Não encontrado,2025-08-01T13:51:42.549309
https://meggaatacadista.com.br/queijo-int-parmesao-montan-g-mestre-kg-11469-13,Megga Atacadista,Não encontrado,2025-08-01T14:58:29.523673
https://meggaatacadista.com.br/vinho-italiano-fris-andreani-lamb-bco-750ml-11497-13,VINHO ITALIANO FRIS ANDREANI LAMB BCO 750ML,7898235980074,2025-08-01T14:58:32.474038
https://meggaatacadista.com.br/vinho-italiano-fris-andreani-lamb-tto-750ml-11498-13,VINHO ITALIANO FRIS ANDREANI LAMB TTO 750ML,7898235980067,2025-08-01T14:58:34.342633
https://meggaatacadista.com.br/vinho-chileno-gato-negro-chard-bco-750ml-11501-13,VINHO CHILENO GATO NEGRO CHARD BCO 750ML,7804300120641,2025-08-01T14:58:36.339550
https://meggaatacadista.com.br/vinho-chi-gato-negro-sauvignon-750ml-11502-13,VINHO CHI GATO NEGRO SAUVIGNON 750ML,7804300010645,2025-08-01T14:58:38.556945
https://meggaatacadista.com.br/vinho-argentino-trapiche-viney-char-bco-750ml---11504-13,VINHO ARGENTINO TRAPICHE VINEY CHAR BCO 750ML,7790240072181,2025-08-01T14:58:40.903847
https://meggaatacadista.com.br/vinho-portugues-calem-portuguesto-velh-ruby-750ml---11508-13,VINHO PORTUGUES CALEM PORTUGUESTO VELH RUBY 750ML,5601077101048,2025-08-01T14:58:43.162066
https://meggaatacadista.com.br/vinho-portugues-calem-portuguesto-velh-tawny-750ml---11509-13,VINHO PORTUGUES CALEM PORTUGUESTO VELH TAWNY 750ML,5601077111023,2025-08-01T14:58:45.329050
https://meggaatacadista.com.br/vinho-portugues-periquita-reserva-750ml---11512-13,VINHO PORTUGUES PERIQUITA RESERVA 750ML,5601174205007,2025-08-01T14:58:47.533995
